timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.0,0.23500432496269544,0.11157278170677785,50.0
2000,0.0,0.20721123044689496,0.05926530524143536,50.0
3000,0.0,0.21626979584495226,0.047610685502689654,50.0
4000,0.0,0.18267700088520844,0.06411913668965971,50.0
5000,0.0,0.3938923552632332,0.1053548289903296,50.0
6000,0.0,0.8977225760618845,0.10711813078231064,50.0
7000,0.0,0.43770447969436643,0.07617174946041365,50.0
8000,0.0,0.6628689726193746,0.11313847662474981,50.0
9000,0.03333333333333333,0.4300212164409459,0.19248975889221406,48.86666666666667
10000,0.0,0.2965325271089872,0.11938558272239441,50.0
11000,0.03333333333333333,0.251825694181025,0.0973184937480964,49.8
12000,0.0,0.2920418386658033,0.13587149398144266,50.0
13000,0.0,0.3287037422259649,0.12548177323916349,50.0
14000,0.0,0.3154363788664341,0.17880720638259184,50.0
15000,0.0,0.46940685411294303,0.1307477078992036,50.0
16000,0.0,0.37952139352758724,0.16063205523315743,50.0
17000,0.0,0.3364698062340418,0.1531259182999676,50.0
18000,0.06666666666666667,0.4833989550669988,0.17777931647181444,47.4
19000,0.0,0.36720246225595476,0.11453316711616114,50.0
20000,0.0,0.32783421178658806,0.1135698079073452,50.0
21000,0.0,0.28922978912790615,0.12113359253194844,50.0
22000,0.03333333333333333,0.2831086772804459,0.09182041692733804,48.8
23000,0.0,0.26137132694323856,0.08534660563113934,50.0
24000,0.0,0.28212223475178083,0.10764290040229285,50.0
25000,0.03333333333333333,0.29486821020642917,0.13165245191417266,48.833333333333336
26000,0.0,0.3438090632359187,0.23188654384564172,50.0
27000,0.03333333333333333,0.4087297684823473,0.2649046877965606,48.56666666666667
28000,0.0,0.3529614557822545,0.1961384315751213,50.0
29000,0.0,0.27079087470968566,0.09309213793181469,50.0
30000,0.03333333333333333,0.24948617114375035,0.12133225139677348,48.6
31000,0.03333333333333333,0.3673923715328177,0.24807825496259397,48.733333333333334
32000,0.0,0.39625024249156315,0.16844938198425688,50.0
33000,0.03333333333333333,0.44345153449103236,0.20548127274647338,48.766666666666666
34000,0.0,0.3017787169665098,0.13806493624562408,50.0
35000,0.0,0.2842525575930874,0.1106638039243612,50.0
36000,0.0,0.28779245875775816,0.1069416539915437,50.0
37000,0.0,0.28395930528640745,0.08947108821222356,50.0
38000,0.0,0.29690054754416145,0.08232483620394285,50.0
39000,0.0,0.2500530833999316,0.09030270956179828,50.0
40000,0.0,0.25340403070052464,0.11125364280268442,50.0
41000,0.0,0.21323383723696074,0.06591816558583556,50.0
42000,0.03333333333333333,0.24464088852206867,0.08943153518801693,48.53333333333333
43000,0.0,0.23962332556645075,0.08978064906112722,50.0
44000,0.0,0.25197738980253537,0.11255014103239395,50.0
45000,0.03333333333333333,0.24513981062918902,0.1150062686831734,49.56666666666667
46000,0.0,0.23023574066658814,0.12960209544989923,50.0
47000,0.0,0.27741907810171446,0.12548658882762936,50.0
48000,0.06666666666666667,0.24755870165924232,0.18094060672982637,48.233333333333334
49000,0.0,0.5392820805311203,0.351815372954939,50.0
50000,0.03333333333333333,0.340330296009779,0.2287274507645283,49.96666666666667
