timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.1,0.24027751044680676,0.09236457977281232,45.2
2000,0.06666666666666667,0.22165022653837999,0.09079669740855968,47.7
3000,0.03333333333333333,0.25541924114028614,0.08063613248608995,48.36666666666667
4000,0.06666666666666667,0.5120385309060415,0.15689658224588732,46.93333333333333
5000,0.03333333333333333,0.3894857923189799,0.14250018695717415,48.53333333333333
6000,0.7666666666666667,0.04935092814266682,0.008621193427922327,15.4
7000,0.9,0.04261926816155513,0.008406560145376227,7.533333333333333
8000,0.7666666666666667,0.045880236414571604,0.015366930058069588,14.2
9000,1.0,0.03708830488224824,0.008316017040766004,3.2666666666666666
10000,1.0,0.037182359118014575,0.008605551715598816,2.966666666666667
11000,1.0,0.03579972373942534,0.009623822867621841,2.8
12000,1.0,0.032177246920764443,0.009718791726266522,3.1666666666666665
13000,1.0,0.03128550546243787,0.009257247140011485,3.1
14000,1.0,0.0326152286802729,0.009438175462864004,2.966666666666667
15000,1.0,0.03692517342666785,0.007528899547520345,2.6
16000,1.0,0.030400558095425367,0.011700075159357662,2.5
17000,1.0,0.02913006969417135,0.0108974150092165,2.933333333333333
18000,1.0,0.03310873722657561,0.009472852812354313,2.7333333333333334
19000,1.0,0.030246291620035965,0.013173607530437932,2.966666666666667
20000,1.0,0.026941725270201763,0.012991753606644948,2.6333333333333333
21000,1.0,0.030022177783151468,0.010662277883553924,2.8
22000,1.0,0.03438617984453837,0.010808943218638751,2.6666666666666665
23000,1.0,0.026398198508347074,0.012070974088521345,2.533333333333333
24000,1.0,0.03087118873372674,0.012343053337485331,2.5
25000,1.0,0.03086742254284521,0.013938591462725849,2.6666666666666665
26000,1.0,0.030678120845307907,0.011747701639900243,2.7666666666666666
27000,1.0,0.02797319901486238,0.013109883231340798,2.933333333333333
28000,1.0,0.027816122335692247,0.014131588157358658,2.6666666666666665
29000,1.0,0.02738680726227661,0.01216504921536388,2.8333333333333335
30000,1.0,0.030048186611384153,0.008863230265881993,2.9
31000,1.0,0.02637983604023854,0.010792545504918405,2.7666666666666666
32000,1.0,0.027367380789170663,0.011847147893779462,2.8333333333333335
33000,1.0,0.03144841895749172,0.011764895715896197,2.8666666666666667
34000,1.0,0.03195782940213879,0.011430125349256052,2.7333333333333334
35000,1.0,0.029136944158623616,0.010623504760047864,2.8
36000,1.0,0.031551412555078664,0.011939037907784535,2.6
37000,1.0,0.027771292440593242,0.012533929741298709,2.7
38000,1.0,0.030271862167865038,0.010291879652153332,2.6
39000,1.0,0.030817506819342574,0.01170558572840185,2.8
40000,1.0,0.03007079289915661,0.011787982574123555,3.033333333333333
41000,1.0,0.03002243861556053,0.009868110196618094,2.6333333333333333
42000,1.0,0.027616444214557608,0.012083023951031682,3.0
43000,1.0,0.027502700981373588,0.011371203348250996,2.8333333333333335
44000,1.0,0.0312730700088044,0.01156134751602538,2.7666666666666666
45000,1.0,0.029658024416615567,0.013702408704583098,2.8333333333333335
46000,1.0,0.03223460502922535,0.012156976321649067,2.6666666666666665
47000,1.0,0.022193370355914035,0.009783829817519664,2.8666666666666667
48000,1.0,0.02863230408790211,0.010497502622640173,2.8333333333333335
49000,1.0,0.02506023511911432,0.012327474649043888,2.966666666666667
50000,1.0,0.025733319390565158,0.011034973125064258,2.8333333333333335
