timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.0,0.27980352863669394,0.08262907604598131,50.0
2000,0.0,0.2044503393272559,0.05936436645042118,50.0
3000,0.0,0.3809573988119761,0.06398296167866357,50.0
4000,0.03333333333333333,0.9372757902679344,0.38851197647643704,48.56666666666667
5000,0.3,0.04975581302617987,0.03865108012541206,36.96666666666667
6000,1.0,0.014611004665493966,0.0036319424206688483,5.766666666666667
7000,1.0,0.012032802573715647,0.004323934478409222,5.633333333333334
8000,0.9666666666666667,0.014990365986401835,0.005895060559212494,6.666666666666667
9000,1.0,0.012874681362882256,0.0039661200530394175,5.833333333333333
10000,0.9666666666666667,0.013614342454820872,0.006802597966274783,6.166666666666667
11000,1.0,0.012081526474018271,0.004758257079173021,5.333333333333333
12000,1.0,0.012406420536960165,0.0040617482327937665,4.733333333333333
13000,1.0,0.01219866049165527,0.004317167036697565,5.033333333333333
14000,1.0,0.013090547500178218,0.0038066120678523037,4.933333333333334
15000,1.0,0.010386929055675865,0.005199569856785617,4.7
16000,1.0,0.012830740492790937,0.0045805820077385925,4.9
17000,1.0,0.01168633623359104,0.004575210268066538,4.566666666666666
18000,1.0,0.011919861799106002,0.004148368550472562,4.6
19000,1.0,0.01161967165923367,0.004972563858727015,4.666666666666667
20000,1.0,0.012344236206263303,0.004140370999963327,5.2
21000,1.0,0.012206833332311363,0.005123925660136571,5.066666666666666
22000,1.0,0.010918904041560987,0.004236428940354743,4.833333333333333
23000,1.0,0.012479548808187246,0.0041393119046566436,4.966666666666667
24000,1.0,0.013372240114646654,0.004400849022142886,4.8
25000,1.0,0.010753912874497474,0.0036926239642288416,4.6
26000,0.9666666666666667,0.012945282598957419,0.004594092627952603,6.266666666666667
27000,1.0,0.012868793106948336,0.004052867571460035,5.333333333333333
28000,1.0,0.011903386198294659,0.005293710651476141,4.7
29000,1.0,0.011642560549080371,0.0038988920668238925,4.6
30000,1.0,0.012779908441007137,0.004226089910953728,4.6
31000,1.0,0.011831414932385088,0.00390603976540591,4.633333333333334
32000,0.9666666666666667,0.011476099335898956,0.003784180190066712,6.133333333333334
33000,1.0,0.010473938612267374,0.0036279445602464167,4.9
34000,1.0,0.011958680922786395,0.003426145119468202,4.433333333333334
35000,0.9666666666666667,0.012196437998985251,0.004189941439851929,5.7
36000,1.0,0.011224954070833822,0.0034063113320179582,4.6
37000,1.0,0.011149161332286894,0.004655368608754615,4.766666666666667
38000,1.0,0.012697388728459677,0.003939541094061236,4.766666666666667
39000,0.9666666666666667,0.011377754691056906,0.00507162456247085,6.3
40000,1.0,0.011578284716233612,0.0047546796328433215,4.433333333333334
41000,1.0,0.011235468213756879,0.004269769790539978,4.266666666666667
42000,0.9666666666666667,0.013162784976884723,0.006592094272996051,7.1
43000,1.0,0.01197436648265769,0.00461950929815125,5.066666666666666
44000,1.0,0.011090638147046169,0.004224302315119791,4.8
45000,1.0,0.011080962978303433,0.004187471717956658,4.433333333333334
46000,0.9666666666666667,0.011561445239931346,0.005876890937482596,6.233333333333333
47000,0.9666666666666667,0.013642905450736483,0.00654788558384314,6.4
48000,0.9666666666666667,0.01242211419157684,0.006818085585572374,5.933333333333334
49000,0.9666666666666667,0.01168019884886841,0.005852549694466987,7.033333333333333
50000,1.0,0.011065944381213437,0.004647045250800691,5.233333333333333
