timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.0,0.2639129343132178,0.08942281290386823,50.0
2000,0.0,0.20664862766861916,0.05789582222223865,50.0
3000,0.0,0.19191545099020005,0.05793983372074841,50.0
4000,0.0,0.231942102064689,0.06963564090026035,50.0
5000,0.0,0.4514268716176351,0.0847660292484985,50.0
6000,0.0,0.31082344353199004,0.07784905993117933,50.0
7000,0.0,0.41269431859254835,0.19712515452523685,50.0
8000,0.0,0.6108621289332707,0.12144157047791584,50.0
9000,0.0,0.4521651943524679,0.11814262262445102,50.0
10000,0.0,0.5666325926780701,0.11739001239812871,50.0
11000,0.0,0.4013273626565933,0.14442125837365605,50.0
12000,0.0,0.32956858314573767,0.1300750716190233,50.0
13000,0.0,0.29512275060017906,0.09372561860849828,50.0
14000,0.0,0.2675420550008615,0.09327552075275314,50.0
15000,0.0,0.4313904357453187,0.13173700012342174,50.0
16000,0.0,0.3506100955108801,0.12989360910331996,50.0
17000,0.0,0.33401830196380616,0.13644178599910145,50.0
18000,0.0,0.3327544920146465,0.1328548299389855,50.0
19000,0.0,0.354861273119847,0.1065117614339525,50.0
20000,0.0,0.3011425939699014,0.1067528440737671,50.0
21000,0.0,0.3048309959471226,0.10396276084680263,50.0
22000,0.0,0.3043951041996479,0.1001257118794837,50.0
23000,0.0,0.5159696211417516,0.19003728745373574,50.0
24000,0.03333333333333333,0.3795623528305441,0.10582579371901653,48.63333333333333
25000,0.06666666666666667,0.3233285610564053,0.11504761857689212,46.93333333333333
26000,0.03333333333333333,0.33770906636491416,0.125929141375302,48.43333333333333
27000,0.0,0.34041169211268424,0.11827568197435424,50.0
28000,0.0,0.34627210795879365,0.15535639901199613,50.0
29000,0.0,0.30992714216311773,0.07569645895284009,50.0
30000,0.03333333333333333,0.3150222926090161,0.1509618203920872,49.166666666666664
31000,0.0,0.35590145190556843,0.10210645836441531,50.0
32000,0.0,0.2995476685464382,0.0813033664312545,50.0
33000,0.0,0.2737833364556233,0.11742615611876317,50.0
34000,0.0,0.2379365749657154,0.08091185190628329,50.0
35000,0.0,0.22179720389346283,0.10187332871729494,50.0
36000,0.0,0.27164510898292066,0.11559726760275718,50.0
37000,0.03333333333333333,0.26456862948834897,0.10777300501993015,48.43333333333333
38000,0.03333333333333333,0.30593011726935704,0.14028381750904745,49.06666666666667
39000,0.03333333333333333,0.22767582734425862,0.09162131914224514,48.5
40000,0.0,0.28302102237939836,0.11222814390370286,50.0
41000,0.03333333333333333,0.3268703537372251,0.1262231500798279,48.46666666666667
42000,0.03333333333333333,0.3072339896733562,0.15605039061254014,48.36666666666667
43000,0.0,0.39268527378638585,0.16328749460356418,50.0
44000,0.0,0.3919707675774892,0.15141317435258858,50.0
45000,0.03333333333333333,0.3157691427816947,0.1387091718851324,48.9
46000,0.0,0.3904290020465851,0.13457073146431064,50.0
47000,0.0,0.2926685117185116,0.14297553141363747,50.0
48000,0.03333333333333333,0.28946966857959827,0.14131586183782868,49.46666666666667
49000,0.0,0.3377286918461323,0.15601089525585754,50.0
50000,0.03333333333333333,0.26265151215096316,0.13074767013692282,49.36666666666667
