timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.0,0.2672091687719027,0.07408993504496583,50.0
2000,0.03333333333333333,0.14090048943956693,0.05704919165353689,48.36666666666667
3000,0.1,0.15739072660605113,0.06481246442053919,47.2
4000,0.5,0.10979353984196981,0.0660900591055721,28.166666666666668
5000,1.0,0.03385542693237464,0.009903945685371902,2.7
6000,1.0,0.032957516113917035,0.010658227125902964,2.8333333333333335
7000,1.0,0.027290218540777764,0.010471701619806264,2.966666666666667
8000,1.0,0.03274118915821115,0.010629830178344681,3.066666666666667
9000,1.0,0.031044465334465105,0.008931237299680721,2.6333333333333333
10000,1.0,0.0336784986158212,0.009174555986393718,3.2
11000,1.0,0.03126238317539295,0.010071270641406138,3.1666666666666665
12000,1.0,0.03485802660385768,0.0110341864098945,2.9
13000,1.0,0.03584967888891697,0.008472984075567553,3.033333333333333
14000,1.0,0.03396627412488063,0.008535059313081541,3.3666666666666667
15000,1.0,0.03567599741121133,0.007547451720655324,3.2666666666666666
16000,1.0,0.035789837160458166,0.009502710868817495,2.8
17000,1.0,0.03477014064167937,0.010424555644985234,3.2
18000,1.0,0.03567101278652748,0.008910729064037018,3.0
19000,1.0,0.03302326162035266,0.009542097398724117,3.3333333333333335
20000,1.0,0.03693803505351146,0.007046890673655394,2.966666666666667
21000,1.0,0.038943202483157316,0.007321847974554467,3.1
22000,1.0,0.03439425074805816,0.007863623675544416,3.2666666666666666
23000,1.0,0.034278964872161546,0.009899492526473645,3.1666666666666665
24000,1.0,0.03895347695797682,0.0065982695879045405,3.033333333333333
25000,1.0,0.03481487029542526,0.008331837422591802,3.3333333333333335
26000,1.0,0.03750211956600348,0.00679876741489649,2.933333333333333
27000,1.0,0.03790751826018095,0.0065200878225944205,3.1333333333333333
28000,1.0,0.03505927125612895,0.009473542286574377,2.8333333333333335
29000,1.0,0.03575854953378439,0.008607368451788219,3.1333333333333333
30000,1.0,0.03595773323128621,0.007946315092070718,3.033333333333333
31000,1.0,0.036029457362989584,0.009091051392826033,3.0
32000,1.0,0.03440406002725164,0.008541978440428701,3.2333333333333334
33000,1.0,0.03696924758454164,0.009039034026717505,3.3
34000,1.0,0.037075329261521496,0.007508465992143909,3.1
35000,1.0,0.03622266308714946,0.00828433015013962,3.2333333333333334
36000,1.0,0.035431757445136706,0.009279822403262831,2.8333333333333335
37000,1.0,0.037786835059523585,0.006153137492095119,3.2333333333333334
38000,1.0,0.03487267792224884,0.0077415083983300645,2.933333333333333
39000,1.0,0.040748877761264644,0.005474970887039477,3.1666666666666665
40000,1.0,0.030970040305207173,0.009928569100768914,2.8666666666666667
41000,1.0,0.03652750533074141,0.008886472883974178,2.7666666666666666
42000,1.0,0.03793686504165331,0.007362074049670912,2.6
43000,1.0,0.037001612270250915,0.00900521413769062,2.933333333333333
44000,1.0,0.037456987363596754,0.007823103729467915,3.0
45000,1.0,0.036435215485592684,0.007594378200406515,2.466666666666667
46000,1.0,0.03463992161365847,0.008419136524410058,3.033333333333333
47000,1.0,0.03729226017991702,0.006583625740942824,3.2333333333333334
48000,1.0,0.035667978196094435,0.008732540152694259,2.966666666666667
49000,1.0,0.03657091495891412,0.0061314055202790286,2.6666666666666665
50000,1.0,0.033883807621896266,0.007520146669236812,3.1
