timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.03333333333333333,0.22785251699388026,0.07637450694590733,48.5
2000,0.03333333333333333,0.15350497948626676,0.038080069334389545,48.96666666666667
3000,0.8333333333333334,0.07577100346485774,0.07533005603196596,13.766666666666667
4000,0.9666666666666667,0.0370743786295255,0.013532191076279383,4.533333333333333
5000,1.0,0.03115059624736508,0.009258669210519002,2.8666666666666667
6000,1.0,0.031223583842317264,0.009256898136044004,2.8
7000,1.0,0.02953209402039647,0.00902939483254241,2.6666666666666665
8000,1.0,0.033118893609692654,0.010469148294100181,3.0
9000,1.0,0.033755945538481075,0.010111525835541563,2.466666666666667
10000,1.0,0.03260014041637381,0.008683134002643532,2.8666666666666667
11000,1.0,0.031255530379712584,0.008555335022875827,2.6
12000,1.0,0.027346936877196033,0.011895307143652119,3.1
13000,1.0,0.032826918891320625,0.008961354509595947,2.566666666666667
14000,1.0,0.033583647354195514,0.010982717557235134,2.8333333333333335
15000,1.0,0.030440194563319287,0.01081165085141174,2.7
16000,1.0,0.028163504631568987,0.009485587059589974,2.6
17000,1.0,0.03238917384296656,0.009470328365940714,2.5
18000,1.0,0.03420442727704843,0.010607448612168677,2.6
19000,1.0,0.02915784325450659,0.010695042329605919,2.933333333333333
20000,1.0,0.02963153049349785,0.009973252152650137,2.9
21000,1.0,0.03254137340312203,0.00938311446234629,2.5
22000,1.0,0.034186586660022535,0.011992969657633856,2.933333333333333
23000,1.0,0.02854841435328126,0.010702942289302547,2.8666666666666667
24000,1.0,0.03144867277393738,0.010696572107260584,2.8333333333333335
25000,1.0,0.02938840010513862,0.009241362944777573,2.7333333333333334
26000,1.0,0.02919332959378759,0.01065924021491671,2.7666666666666666
27000,1.0,0.03114046696573496,0.008673465995282839,2.8
28000,1.0,0.030706767334292333,0.009676605845457232,2.8333333333333335
29000,1.0,0.027865898174544174,0.00997137716047824,2.533333333333333
30000,1.0,0.02822996343796452,0.011219810816154512,3.033333333333333
31000,1.0,0.03039409089833498,0.010250743408774497,2.566666666666667
32000,1.0,0.03139810934662819,0.008951111444053354,2.8
33000,1.0,0.030439121027787525,0.011170058975357429,2.7333333333333334
34000,1.0,0.03134779017418623,0.009613195075064479,2.6
35000,1.0,0.030754264692465463,0.010971033879064526,2.8
36000,1.0,0.030647295682380598,0.010096502519486949,2.7666666666666666
37000,1.0,0.030045238339031735,0.010973578996051269,2.6
38000,1.0,0.030060930488010246,0.009584695768134425,2.6
39000,1.0,0.03060373474533359,0.010678666424624093,2.7
40000,1.0,0.030754840560257436,0.009811128867516282,2.8
41000,1.0,0.028787734918296337,0.01011964777694567,2.7
42000,1.0,0.03265142869204283,0.010648212043900417,2.533333333333333
43000,1.0,0.029895820654928684,0.010242602327389253,2.6
44000,1.0,0.02983685452491045,0.009364942517112462,2.8
45000,1.0,0.03169742611547311,0.008343041311093834,2.7666666666666666
46000,1.0,0.03202195977792144,0.010160395632261779,2.6333333333333333
47000,1.0,0.03118262089168032,0.010472646347546733,2.6333333333333333
48000,1.0,0.029631694064786038,0.009131798491714822,2.7333333333333334
49000,1.0,0.02941608609010776,0.011279009475244236,2.7666666666666666
50000,1.0,0.029417450694988172,0.010037859703228753,2.7666666666666666
