timesteps,success_rate,final_distance_mean,final_distance_std,episode_length_mean
1000,0.1,0.22120651304721833,0.09549675294560443,45.833333333333336
2000,0.03333333333333333,0.14618948499361675,0.0516527654395279,48.36666666666667
3000,0.1,0.35168234060208003,0.12074836583694365,45.666666666666664
4000,0.2,0.18723412131269773,0.09137268965843723,43.53333333333333
5000,0.3333333333333333,0.12992268865928053,0.08520916923116088,34.5
6000,0.6,0.11412142980843783,0.1037973464568065,23.766666666666666
7000,0.7,0.0596875020613273,0.03352301117186972,17.366666666666667
8000,0.9,0.04024135104070107,0.012781374694490803,9.0
9000,0.9666666666666667,0.041179136962940295,0.008988357601929828,5.2
10000,1.0,0.03445108899225791,0.009162798421008107,2.8
11000,1.0,0.033590478481103976,0.010750448008018451,2.6666666666666665
12000,1.0,0.02601992655545473,0.010891397017197895,3.033333333333333
13000,1.0,0.02864198914418618,0.010507856492928805,2.8666666666666667
14000,1.0,0.030892951662341753,0.010507549577935288,2.7666666666666666
15000,1.0,0.028079541182766357,0.011320132177887523,2.8666666666666667
16000,1.0,0.031294904028375946,0.011136811868893022,2.6333333333333333
17000,1.0,0.029979595076292755,0.011096472575984107,2.6
18000,1.0,0.027511830162256955,0.010568561858229221,2.8666666666666667
19000,1.0,0.028009594852725663,0.01183518215101327,2.7666666666666666
20000,1.0,0.02209244139958173,0.01064824285253509,3.0
21000,1.0,0.02834353093057871,0.01095838059643059,2.7666666666666666
22000,1.0,0.022443736026374003,0.01368590423771552,3.0
23000,1.0,0.03208238237227003,0.008543052922026449,2.466666666666667
24000,1.0,0.025241572083905338,0.015081391390316435,2.9
25000,1.0,0.030832039223363004,0.011471328769747153,2.3666666666666667
26000,1.0,0.030100583347181478,0.012993849346792537,2.2666666666666666
27000,1.0,0.027737700023377936,0.011960432959051515,2.7333333333333334
28000,1.0,0.026743029740949473,0.013035244679628872,2.8
29000,1.0,0.02657212211440007,0.013583376331446361,2.6333333333333333
30000,1.0,0.0317340947377185,0.01254990588045821,2.7333333333333334
31000,1.0,0.02378589129075408,0.012052984874339437,2.7333333333333334
32000,1.0,0.025216257184123,0.012221416026171255,2.4
33000,1.0,0.030814150146519146,0.013113749283336678,2.8666666666666667
34000,1.0,0.024623334081843494,0.01053697045966338,2.7333333333333334
35000,1.0,0.030771881512676676,0.011245482396853426,2.7666666666666666
36000,1.0,0.02516205150944491,0.013070653384936914,2.8333333333333335
37000,1.0,0.02834940607038637,0.012951659565498087,2.7
38000,1.0,0.027632418259357413,0.013037084303896593,2.7666666666666666
39000,1.0,0.026126375033830602,0.013512903937691677,2.8666666666666667
40000,1.0,0.027234721137210725,0.010722037618872573,2.7333333333333334
41000,1.0,0.02403113277008136,0.009983611678143085,2.8
42000,1.0,0.027869599297021826,0.012628772288175298,2.6666666666666665
43000,1.0,0.03126737214624882,0.01246927506331303,2.8333333333333335
44000,1.0,0.02728861418242256,0.013120150964762647,2.566666666666667
45000,1.0,0.027619219198822976,0.010412458423064559,2.533333333333333
46000,1.0,0.02422445473882059,0.010534046099545473,2.7
47000,1.0,0.027336675960881015,0.012070967810947264,2.966666666666667
48000,1.0,0.02582766703950862,0.012791646015700313,2.9
49000,1.0,0.02375475239629547,0.012271196473196785,2.7
50000,1.0,0.02401900535138945,0.012125615298469688,2.8333333333333335
