policy,seed,condition,is_baseline,difficulty,success_rate,ci_low,ci_high,n_success,final_distance_mean,final_distance_std,episode_length_mean,n_episodes
random,-1,nominal,True,standard,0.18,0.11700131654251038,0.26667536024213084,18,0.23252576598897576,0.12455171859761788,43.4,100.0
random,-1,surrogate,True,standard,0.12,0.06999337365267776,0.19812268002908368,12,0.25616007735952734,0.11762756686715341,45.57,100.0
random,-1,nominal,True,hard,0.01,0.0017673865655472645,0.0544875247609346,1,0.3173327943868935,0.12678296042972995,49.62,100.0
random,-1,surrogate,True,hard,0.02,0.005501852234968185,0.07001316294199365,2,0.30081335197202863,0.12582266255736343,49.42,100.0
scripted,-1,nominal,True,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.029348937820177525,0.011900511465193978,2.86,100.0
scripted,-1,surrogate,True,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.028195865377783777,0.012870027591434987,2.72,100.0
scripted,-1,nominal,True,hard,0.98,0.9299868370580063,0.9944981477650318,98,0.01152828559395857,0.006196688193449636,6.27,100.0
scripted,-1,surrogate,True,hard,0.99,0.9455124752390653,0.9982326134344526,99,0.012202533644158393,0.005098879441489187,5.86,100.0
her_sparse,0,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.028541151909157635,0.010761742471946325,2.76,100.0
her_sparse,0,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.031664026603102684,0.012992099158188252,2.89,100.0
her_sparse,1,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.028662447184324265,0.011988541431317551,2.73,100.0
her_sparse,1,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.0319559338176623,0.011000435699886022,2.55,100.0
her_sparse,2,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03207585969008506,0.010134678749084178,2.82,100.0
her_sparse,2,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.033272473979741334,0.011633947878611568,2.8,100.0
noher_sparse,0,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.031591737996786835,0.010153266730007302,2.83,100.0
noher_sparse,0,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03206587007269263,0.01156634112673885,2.67,100.0
noher_sparse,1,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03011274812743068,0.010819070165307955,2.74,100.0
noher_sparse,1,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03138154324144125,0.011552154465217892,2.71,100.0
noher_sparse,2,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.029478652072139084,0.01169226470717094,2.71,100.0
noher_sparse,2,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03260668430477381,0.011447333548079943,2.63,100.0
noher_dense,0,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.02958373856265098,0.011620715539282173,2.83,100.0
noher_dense,0,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.029826402887701987,0.012103019149061579,2.7,100.0
noher_dense,1,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.02762027601711452,0.012433223397765272,2.82,100.0
noher_dense,1,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.029141657669097185,0.011266202476644923,2.68,100.0
noher_dense,2,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.02922947528772056,0.012082542790830578,2.74,100.0
noher_dense,2,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03117617440642789,0.012401058110536338,2.68,100.0
her_dense,0,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.027212391826324164,0.013028440164488734,2.77,100.0
her_dense,0,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.030426101251505314,0.012271068492909935,2.71,100.0
her_dense,1,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.028815649463795126,0.01205499620067172,2.73,100.0
her_dense,1,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.028426839229650794,0.013870521767004746,2.66,100.0
her_dense,2,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.026204422167502343,0.01257565700394117,2.76,100.0
her_dense,2,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.029361462015658618,0.01268020729527985,2.67,100.0
her_sparse_dr,0,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03310980827081948,0.01032075402320839,2.89,100.0
her_sparse_dr,0,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03401232336647809,0.010628571444126536,2.63,100.0
her_sparse_dr,1,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03244438458699733,0.009590249890452783,2.69,100.0
her_sparse_dr,1,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03421168437693268,0.011350233498720025,2.86,100.0
her_sparse_dr,2,nominal,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.03087315917480737,0.010666597449284177,2.81,100.0
her_sparse_dr,2,surrogate,False,standard,1.0,0.9630051925239981,0.9999999999999999,100,0.034607554883696136,0.012087899276613932,2.88,100.0
her_sparse_hard,0,nominal,False,hard,0.99,0.9455124752390653,0.9982326134344526,99,0.010912062061252073,0.005482573263143241,5.06,100.0
her_sparse_hard,0,surrogate,False,hard,0.99,0.9455124752390653,0.9982326134344526,99,0.013449984301114454,0.005582291276827235,5.81,100.0
her_sparse_hard,1,nominal,False,hard,0.99,0.9455124752390653,0.9982326134344526,99,0.011243525096215307,0.0053466875642234615,5.21,100.0
her_sparse_hard,1,surrogate,False,hard,0.99,0.9455124752390653,0.9982326134344526,99,0.014472843597177416,0.006275569870857123,5.29,100.0
her_sparse_hard,2,nominal,False,hard,0.99,0.9455124752390653,0.9982326134344526,99,0.012118784519843757,0.00470699086681947,5.32,100.0
her_sparse_hard,2,surrogate,False,hard,1.0,0.9630051925239981,0.9999999999999999,100,0.013858556495979429,0.006600265137540924,5.03,100.0
noher_sparse_hard,0,nominal,False,hard,0.0,0.0,0.03699480747600191,0,0.26762857995927336,0.16135315005798884,50.0,100.0
noher_sparse_hard,0,surrogate,False,hard,0.03,0.010254338223414816,0.08452078080402699,3,0.24794461639598012,0.14648158500824118,49.49,100.0
noher_sparse_hard,1,nominal,False,hard,0.09,0.04807199516388488,0.16226374696643667,9,0.1317117343004793,0.08686080294947643,46.51,100.0
noher_sparse_hard,1,surrogate,False,hard,0.08,0.04109296948581091,0.14998266879403072,8,0.13083568075671792,0.08806600109360102,47.13,100.0
noher_sparse_hard,2,nominal,False,hard,0.0,0.0,0.03699480747600191,0,0.3535811706632376,0.09926951555271976,50.0,100.0
noher_sparse_hard,2,surrogate,False,hard,0.01,0.0017673865655472645,0.0544875247609346,1,0.348869269695133,0.10383494073310874,49.55,100.0
